iter	Passed	Remaining
0	1	137
1	2	110
2	3	98
3	3	86
4	4	84
5	5	82
6	6	80
7	6	77
8	7	74
9	8	73
10	9	74
11	10	74
12	11	74
13	11	73
14	12	71
15	13	70
16	14	68
17	14	67
18	15	65
19	16	64
20	17	65
21	18	64
22	18	62
23	19	61
24	20	60
25	20	59
26	21	57
27	22	56
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	26	51
34	27	50
35	28	49
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	53	23
69	54	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	60	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	63	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	76	0
