iter	Passed	Remaining
0	152	152823
1	154	77170
2	156	52000
3	157	39216
4	158	31524
5	159	26418
6	160	22832
7	162	20126
8	163	18038
9	165	16351
10	166	14967
11	167	13766
12	167	12748
13	168	11890
14	171	11264
15	172	10607
16	173	10029
17	174	9512
18	175	9054
19	176	8651
20	177	8275
21	178	7932
22	179	7632
23	180	7345
24	181	7091
25	182	6847
26	183	6619
27	184	6407
28	187	6273
29	188	6088
30	189	5921
31	190	5752
32	190	5595
33	191	5445
34	192	5306
35	193	5176
36	194	5063
37	195	4956
38	196	4851
39	197	4743
40	198	4643
41	199	4545
42	200	4452
43	202	4396
44	203	4310
45	203	4229
46	204	4150
47	205	4073
48	206	4001
49	206	3932
50	208	3871
51	208	3809
52	209	3751
53	210	3692
54	211	3635
55	212	3582
56	213	3529
57	214	3478
58	214	3427
59	216	3393
60	217	3348
61	218	3302
62	219	3257
63	219	3214
64	220	3173
65	221	3133
66	222	3094
67	222	3056
68	223	3017
69	224	2979
70	224	2943
71	225	2908
72	226	2874
73	227	2840
74	227	2808
75	228	2776
76	229	2746
77	229	2716
78	231	2703
79	232	2674
80	233	2646
81	233	2617
82	234	2586
83	234	2560
84	235	2534
85	236	2509
86	236	2486
87	237	2462
88	238	2439
89	238	2415
90	239	2393
91	240	2371
92	240	2349
93	241	2329
94	242	2308
95	243	2288
96	243	2268
97	244	2248
98	244	2229
99	246	2221
100	247	2203
101	248	2184
102	248	2166
103	249	2149
104	250	2132
105	250	2115
106	251	2099
107	252	2082
108	252	2066
109	253	2050
110	254	2035
111	254	2020
112	255	2004
113	255	1989
114	256	1973
115	256	1958
116	257	1942
117	257	1927
118	258	1913
119	258	1899
120	259	1885
121	259	1870
122	260	1857
123	262	1850
124	262	1838
125	263	1826
126	263	1812
127	264	1800
128	264	1788
129	265	1776
130	265	1763
131	266	1751
132	266	1739
133	267	1728
134	267	1716
135	268	1705
136	268	1694
137	269	1683
138	270	1673
139	270	1662
140	271	1652
141	271	1641
142	272	1631
143	272	1621
144	273	1611
145	274	1602
146	274	1593
147	275	1584
148	276	1579
149	277	1572
150	278	1563
151	278	1556
152	279	1547
153	280	1539
154	280	1530
155	281	1522
156	281	1514
157	282	1505
158	283	1497
159	283	1489
160	284	1482
161	285	1475
162	286	1468
163	286	1461
164	287	1453
165	287	1446
166	288	1438
167	289	1431
168	289	1423
169	290	1417
170	292	1419
171	293	1414
172	294	1407
